9023_296467_000000_000000	Probably a good many ladies reading these lines will endorse my authoress's opinions.	Probably a good many ladies reading these lines will endorse my authoress's opinions.	false	0	4.89	21.406664
9023_296467_000011_000003	In their nicely calculated springs, we are taught neither to come short through want of mercy, or go beyond the mark in its excess.	In their nicely calculated springs, we are taught neither to come short through want of mercy, or go beyond the mark in its excess.	true	426.47	433.51	19
9023_296467_000011_000004	In their delicate walking amidst the fragile articles on a table or mantel-piece, is illustrated the tact and discrimination by which we should thread rather than force our way; and, in pursuit of our own ends, avoid the injuring of others.	In their delicate walking amidst the fragile articles on a table or mantel piece, is illustrated the tact and discrimination by which we should thread rather than force our way; and, in pursuit of our own ends, avoid the injuring of others.	true	433.91	446.62	20.919363
9023_296467_000011_000005	In their noiseless tread and stealthy movements, we are reminded of the frequent importance of secresy and caution prior to action, while their promptitude at the right moment, warns us, on the other hand, against the evils of irresolution and delay.	In their noiseless tread and stealthy movements, we are reminded of the frequent importance of secresy and caution prior to action, while their promptitude at the right moment, warns us, on the other hand, against the evils of irresolution and delay.	true	446.75	460.27	21.429049
9023_296467_000011_000006	The curiosity with which they spy into all places, and the thorough smelling which any new object invariably receives from them, commends to us the pursuit of knowledge, even under difficulties.	The curiosity with which they spy into all places, and the thorough smelling which any new object invariably receives from them, commends to us the pursuit of knowledge, even under difficulties.	true	461.15	471.67	20.499622
9023_296467_000011_000007	Cats, however, will never smell the same thing twice over, thereby showing a retentive as well as an acquiring faculty.	Cats, however, will never smell the same thing twice over, thereby showing a retentive as well as an acquiring faculty.	true	472.1	478.72	20.596
9023_296467_000011_000008	Then to speak of what may be learned from their mere form and ordinary motions, so full of beauty and gracefulness.	Then to speak of what may be learned from their mere form and ordinary motions, so full of beauty and gracefulness.	true	479.39	485.08	15
9023_296467_000011_000009	What Cat was ever awkward or clumsy?	What Cat was ever awkward or clumsy?	true	485.54	488.11	23.365116
9023_296467_000011_000010	Whether in play or in earnest, Cats are the very embodiment of elegance.	Whether in play or in earnest, Cats are the very embodiment of elegance.	false	488.39	492.43	19
9023_296467_000011_000011	As your Cat rubs her head against something you offer her, which she either does not fancy or does not want, she instructs you that there is a gracious mode of refusing a thing; and as she sits up like a bear, on her hind legs, to ask for something (which Cats will often do for a long time together), you may see the advantage of a winning and engaging way, as well when you are seeking a favour as when you think fit to decline one. If true courtesy and considerateness should prevent you not merely from positively hurting another, but also from purposely clashing, say, with another's fancies, peculiarities, or predilections, this too, may be learned from the Cat, who does not like to be rubbed the wrong way (who does like to be rubbed the wrong way?), and who objects to your treading on her tail.	As your Cat rubs her head against something you offer her, which she either does not fancy or does not want, she instructs you that there is a gracious mode of refusing a thing; and as she sits up like a bear, on her hind legs, to ask for something (which Cats will often do for a long time together), you may see the advantage of a winning and engaging way, as well when you are seeking a favour as when you think fit to decline one. If true courtesy and considerateness should prevent you not merely from positively hurting another, but also from purposely clashing, say, with another's fancies, peculiarities, or predilections, this too, may be learned from the Cat, who does not like to be rubbed the wrong way (who does like to be rubbed the wrong way?), and who objects to your treading on her tail.	false	492.74	533.8	20.390835
9023_296467_000011_000012	Nor is the soft foot, with its skilfully sheathed and ever sharp claws, without a moral too; for whilst there is nothing commendable in anything approaching to spite, passion, or revenge, a character that is all softness is certainly defective.	Nor is the soft foot, with its skilfully sheathed and ever sharp claws, without a moral too; for whilst there is nothing commendable in anything approaching to spite, passion, or revenge, a character that is all softness is certainly defective.	false	534.02	547.72	22.117542
9023_296467_000011_000013	The velvety paw is very well, but it will be the better appreciated when it is known that it carries within it something that is not soft, and which can make itself felt, and sharply felt, on occasion.	The velvety paw is very well, but it will be the better appreciated when it is known that it carries within it something that is not soft, and which can make itself felt, and sharply felt, on occasion.	false	547.82	558.55	22
9023_296467_000011_000014	A cat rolled up into a ball, or crouched with its paws folded underneath it, seems an emblem of repose and contentment.	A cat rolled up into a ball, or crouched with its paws folded underneath it, seems an emblem of repose and contentment.	true	559.31	566.14	21.424347
9023_296467_000011_000015	There is something soothing in the mere sight of it.	There is something soothing in the mere sight of it.	true	566.6	568.81	19.584589
9023_296467_000011_000016	It may remind one of the placid countenance and calm repose with which the sphynx seems to look forth from the shadow of the Pyramids, on the changes and troubles of the world.	It may remind one of the placid countenance and calm repose with which the sphynx seems to look forth from the shadow of the Pyramids, on the changes and troubles of the world.	true	569.12	577.78	19.63078
9023_296467_000011_000017	This leads to the remark, that Cats, after all, are very enigmatical creatures.	This leads to the remark, that Cats, after all, are very enigmatical creatures.	false	578.24	583.03	24.37883
9023_296467_000011_000018	You never get to the bottom of Cats.	You never get to the bottom of Cats.	true	583.46	585.405	28.163855
9023_296467_000011_000019	You will never find any two, well known to you, that do not offer marked diversities in ways and dispositions; and, in general, the combination they exhibit of activity and repose, and the rapidity with which they pass from the one to the other, their gentle aspects and fragile form, united with strength and pliancy, their sudden appearances and disappearances, their tenacity of life, and many escapes from dangers ("as many lives as a Cat"), their silent and rapid movements, their sometimes unaccountable gatherings, and strange noises at night--all contribute to invest them with a mysterious fascination, which reaches its culminating point in the (not very frequent) case of a completely black cat."	You will never find any two, well known to you, that do not offer marked diversities in ways and dispositions; and, in general, the combination they exhibit of activity and repose, and the rapidity with which they pass from the one to the other, their gentle aspects and fragile form, united with strength and pliancy, their sudden appearances and disappearances, their tenacity of life, and many escapes from dangers ("as many lives as a Cat"), their silent and rapid movements, their sometimes unaccountable gatherings, and strange noises at night-all contribute to invest them with a mysterious fascination, which reaches its culminating point in the (not very frequent) case of a completely black cat."	true	585.405	625.12	21.386995
9023_296467_000012_000000	Instances are frequent, I am happy to tell Cat-haters, of illustrious persons who have been attached to the feline race, and of Cats who have merited such attachment.	Instances are frequent, I am happy to tell Cat haters, of illustrious persons who have been attached to the feline race, and of Cats who have merited such attachment.	true	625.67	634.75	22.624044
9023_296467_000013_000000	Mahomet would seem to have been very fond of Cats, for it is said that he once cut off the sleeve of his robe rather than disturb his favourite while sleeping on it.	Mahomet would seem to have been very fond of Cats, for it is said that he once cut off the sleeve of his robe rather than disturb his favourite while sleeping on it.	true	635.33	643.66	19
9023_296467_000013_000001	Petrarch was so fond of his Cat that when it died he had it embalmed, and placed in a niche in his apartment; and you ought to read what Rousseau has to say in favour of the feline race.	Petrarch was so fond of his Cat that when it died he had it embalmed, and placed in a niche in his apartment; and you ought to read what Rousseau has to say in favour of the feline race.	true	644.03	654.06	18
9023_296467_000013_000002	M. Baumgarten tells us that he saw a hospital for Cats at Damascus: it was a large house, walled round very carefully, and said to be full of patients.	M. Baumgarten tells us that he saw a hospital for Cats at Damascus: it was a large house, walled round very carefully, and said to be full of patients.	false	654.06	663.94	20.274155
9023_296467_000013_000003	It was at Damascus that the incident above related occurred to Mahomet.	It was at Damascus that the incident above related occurred to Mahomet.	true	664.31	668.44	20.066654
9023_296467_000013_000004	His followers in this place ever afterwards paid a great respect to Cats, and supported the hospital in question by public subscriptions with much liberality.	His followers in this place ever afterwards paid a great respect to Cats, and supported the hospital in question by public subscriptions with much liberality.	true	668.48	677.47	21
9023_296467_000014_000000	When the Duke of Norfolk was committed to the Tower, in the reign of Queen Elizabeth, a favourite Cat made her way into the prison room by getting down the chimney.	When the Duke of Norfolk was committed to the Tower, in the reign of Queen Elizabeth, a favourite Cat made her way into the prison room by getting down the chimney.	true	678.26	685.75	19
9023_296467_000015_000000	"The first day," says Lady Morgan, in her delightful book, "we had the honour of dining at the palace of the Archbishop of Toronto, at Naples, he said to me, 'You must pardon my passion for Cats, but I never exclude them from my dining-room, and you will find they make excellent company.' Between the first and second course, the door opened, and several enormously large and beautiful Angora Cats were introduced by the names of Pantalone, Desdemona, Otello, etc.: they took their places on chairs near the table, and were as silent, as quiet, as motionless, and as well behaved as the most _bon ton_ table in London could require.	"The first day," says Lady Morgan, in her delightful book, "we had the honour of dining at the palace of the Archbishop of Toronto, at Naples, he said to me, 'You must pardon my passion for Cats, but I never exclude them from my dining room, and you will find they make excellent company.' Between the first and second course, the door opened, and several enormously large and beautiful Angora Cats were introduced by the names of Pantalone, Desdemona, Otello, etc: they took their places on chairs near the table, and were as silent, as quiet, as motionless, and as well behaved as the most underscore bon ton underscore table in London could require.	false	686.42	722.11	20.83836
9023_296467_000015_000001	On the bishop requesting one of the chaplains to help the Signora Desdemona, the butler stepped up to his lordship, and observed, 'My lord, La Signora Desdemona will prefer waiting for the roasts.'"	On the bishop requesting one of the chaplains to help the Signora Desdemona, the butler stepped up to his lordship, and observed, 'My lord, La Signora Desdemona will prefer waiting for the roasts.'"	true	722.18	733.36	21.757067
9023_296467_000016_000000	Gottfried Mind, the celebrated Swiss painter, was called the "Cat Raphael," from the excellence with which he painted that animal.	Gottfried Mind, the celebrated Swiss painter, was called the "Cat Raphael," from the excellence with which he painted that animal.	true	734.75	741.04	20
9023_296467_000016_000001	This peculiar talent was discovered and awakened by chance.	This peculiar talent was discovered and awakened by chance.	true	741.38	744.82	24.439116
9023_296467_000016_000002	At the time when Frendenberger painted his picture of the "Peasant Clearing Wood," before his cottage, with his wife sitting by, and feeding her child out of a basin, round which a Cat is prowling, Mind, his new pupil, stared very hard at the sketch of this last figure, and Frendenberger asked with a smile whether he thought he could draw a better.	At the time when Frendenberger painted his picture of the "Peasant Clearing Wood," before his cottage, with his wife sitting by, and feeding her child out of a basin, round which a Cat is prowling, Mind, his new pupil, stared very hard at the sketch of this last figure, and Frendenberger asked with a smile whether he thought he could draw a better.	true	745.4	763.24	20.25712
9023_296467_000016_000003	Mind offered to show what he could do, and did draw a Cat, which Frendenberger liked so much that he asked his pupil to elaborate the sketch, and the master copied the scholar's work, for it is Mind's Cat that is engraved in Frendenberger's plate.	Mind offered to show what he could do, and did draw a Cat, which Frendenberger liked so much that he asked his pupil to elaborate the sketch, and the master copied the scholar's work, for it is Mind's Cat that is engraved in Frendenberger's plate.	true	763.67	776.47	21.758224
9023_296467_000016_000004	Prints of Mind's Cats are now common.	Prints of Mind's Cats are now common.	true	776.69	778.96	18
9023_296467_000017_000000	Mind did not look upon Cats merely as subjects for art; his liking for them was very great.	Mind did not look upon Cats merely as subjects for art; his liking for them was very great.	true	780.2	785.62	19.751307
9023_296467_000017_000001	Once when hydrophobia was raging in Berne, and eight hundred were destroyed in consequence of an order issued by the civic authorities, Mind was in great distress on account of their death.	Once when hydrophobia was raging in Berne, and eight hundred were destroyed in consequence of an order issued by the civic authorities, Mind was in great distress on account of their death.	true	786.17	795.55	19
9023_296467_000017_000002	He had, however, successfully hidden his own favourite, and she escaped the slaughter.	He had, however, successfully hidden his own favourite, and she escaped the slaughter.	true	795.83	800.17	19
9023_296467_000017_000003	This Cat was always with him when he worked, and he used to carry on a sort of conversation with her by gesture and signs.	This Cat was always with him when he worked, and he used to carry on a sort of conversation with her by gesture and signs.	true	801.05	806.92	17
9023_296467_000017_000004	It is said that Minette sometimes occupied his lap, while two or three kittens perched on his shoulders; and he was often known to remain for an hour together in almost the same attitude for fear of disturbing them; yet he was generally thought to be a passionate, sour-tempered man.	It is said that Minette sometimes occupied his lap, while two or three kittens perched on his shoulders; and he was often known to remain for an hour together in almost the same attitude for fear of disturbing them; yet he was generally thought to be a passionate, sour tempered man.	true	807.29	821.38	21
9023_296467_000017_000005	It is said that Cardinal Wolsey used to accommodate his favourite Cat with part of his regal seat when he gave an audience or received princely company.	It is said that Cardinal Wolsey used to accommodate his favourite Cat with part of his regal seat when he gave an audience or received princely company.	true	821.93	829.54	18
9023_296467_000018_000000	There is a funny story told of Barrett, the painter, another lover of Cats.	There is a funny story told of Barrett, the painter, another lover of Cats.	true	830.72	834.52	23
9023_296467_000018_000001	He had for pets a Cat and a kitten, its progeny.	He had for pets a Cat and a kitten, its progeny.	true	834.92	837.73	22.743626
9023_296467_000018_000002	A friend seeing two holes in the bottom of his door, asked him for what purpose he made them there.	A friend seeing two holes in the bottom of his door, asked him for what purpose he made them there.	true	837.95	842.29	18
9023_296467_000018_000003	Barrett said it was for the Cats to go in and out.	Barrett said it was for the Cats to go in and out.	true	842.42	844.78	22.327394
9023_296467_000019_000000	"Why," replied his friend, "would not one do for both?"	"Why," replied his friend, "would not one do for both?"	true	845.21	849.58	21.402145
9023_296467_000020_000000	"You silly man," answered the painter, "how could the big Cat get into the little hole?"	"You silly man," answered the painter, "how could the big Cat get into the little hole?"	true	849.83	854.59	22.640314
9023_296467_000021_000000	"But," said his friend, "could not the little one go through the big hole?"	"But," said his friend, "could not the little one go through the big hole?"	true	854.9	858.28	20.926031
9023_296467_000022_000000	"Dear me," cried Barrett, "so she could; well, I never thought of that."	"Dear me," cried Barrett, "so she could; well, I never thought of that."	true	858.56	863.25	21.974424
9023_296467_000023_000000	M. Sonnini had an Angora Cat, of which he writes: "This animal was my principal amusement for several years.	M. Sonnini had an Angora Cat, of which he writes: "This animal was my principal amusement for several years.	false	863.25	870.94	18.636066
9023_296467_000023_000001	How many times have her tender caresses made me forget my troubles, and consoled me in my misfortunes.	How many times have her tender caresses made me forget my troubles, and consoled me in my misfortunes.	true	871.22	876.67	21
9023_296467_000023_000002	My beautiful companion at length perished.	My beautiful companion at length perished.	true	876.95	879.7	23.193205
9023_296467_000023_000003	After several days of suffering, during which I never forsook her, her eyes constantly fixed on me, were at length extinguished; and her loss rent my heart with sorrow."	After several days of suffering, during which I never forsook her, her eyes constantly fixed on me, were at length extinguished; and her loss rent my heart with sorrow."	true	879.74	888.1	18
9023_296467_000024_000000	You have heard, of course, of Doctor Johnson's feline favourite, and how it fell ill, and how he, thinking the servants might neglect it, himself turned Cat-nurse, and having found out that the invalid had a fancy for oysters, daily administered them to poor Pussy until she had quite recovered.	You have heard, of course, of Doctor Johnson's feline favourite, and how it fell ill, and how he, thinking the servants might neglect it, himself turned Cat nurse, and having found out that the invalid had a fancy for oysters, daily administered them to poor Pussy until she had quite recovered.	true	889.55	904.42	21
9023_296467_000024_000001	I like to picture to myself that good old grumpy doctor nursing Pussy on his knee, and wasting who shall say how many precious moments which otherwise might have been devoted to his literary avocations.	I like to picture to myself that good old grumpy doctor nursing Pussy on his knee, and wasting who shall say how many precious moments which otherwise might have been devoted to his literary avocations.	true	904.88	914.98	16
9023_296467_000024_000002	I dare say now, in that tavern parlour where the lexicographer held forth so ably after sun-set, he made but scant allusion to his nursing feats, lest some mad wit might have twitted him upon the subject, for you may be sure that the wits of those days, as of ours, could have been mighty satirical on such a theme.	I dare say now, in that tavern parlour where the lexicographer held forth so ably after sun set, he made but scant allusion to his nursing feats, lest some mad wit might have twitted him upon the subject, for you may be sure that the wits of those days, as of ours, could have been mighty satirical on such a theme.	true	915.71	932.53	20.155443
9023_296467_000025_000000	Madame Helvetius had a Cat that used to lie at its mistress's feet, scarcely ever leaving her for five minutes together.	Madame Helvetius had a Cat that used to lie at its mistress's feet, scarcely ever leaving her for five minutes together.	false	934.1	940.81	20.665195
9023_296467_000025_000001	It would never take food from any other hand, and it would allow no one but its mistress to caress it; but it would obey her commands in everything, fetching objects she wanted in its mouth, like a dog.	It would never take food from any other hand, and it would allow no one but its mistress to caress it; but it would obey her commands in everything, fetching objects she wanted in its mouth, like a dog.	true	940.82	950.5	19.988945
9023_296467_000025_000002	During Madame Helvetius's last illness, the poor animal never quitted her chamber, and though it was removed after her death, it returned again next morning, and slowly and mournfully paced to and fro in the room, crying piteously all the time. Some days after its mistress's funeral, it was found stretched dead upon her grave, having, it would seem, died of grief.	During Madame Helvetius's last illness, the poor animal never quitted her chamber, and though it was removed after her death, it returned again next morning, and slowly and mournfully paced to and fro in the room, crying piteously all the time. Some days after its mistress's funeral, it was found stretched dead upon her grave, having, it would seem, died of grief.	true	950.57	971.05	20.117655
