9022_282383_000000_000000	[1] See _Pioneers of the Pacific Coast_ in this Series.	[one] See underscore Pioneers of the Pacific Coast underscore in this Series.	false	1.11	9.96	25.821087
9022_282383_000012_000001	From the Assiniboine the road ran northerly to Forts Ellice and Carlton and Pitt and Edmonton.[1] Thomas M'Micking {59} of Niagara acted as captain and eight others as lieutenants.	From the Assiniboine the road ran northerly to Forts Ellice and Carlton and Pitt and Edmonton.[one] Thomas M'Micking {fifty nine} of Niagara acted as captain and eight others as lieutenants.	false	446.09	457.66	24.31413
9022_282383_000012_000002	A scout preceded the marchers, and at sundown camp was formed in a big triangle with the carts as a stockade, the animals tethered or hobbled inside.	A scout preceded the marchers, and at sundown camp was formed in a big triangle with the carts as a stockade, the animals tethered or hobbled inside.	true	458.15	467.68	27.07557
9022_282383_000012_000003	Tents were pitched outside with six men doing sentry duty all night.	Tents were pitched outside with six men doing sentry duty all night.	true	468.08	472.15	22.281212
9022_282383_000012_000004	At two in the morning a halloo roused camp.	At two in the morning a halloo roused camp.	true	472.55	475.3	23.16831
9022_282383_000012_000005	An hour was permitted for harnessing and breaking camp, and then the carts creaked out in line.	An hour was permitted for harnessing and breaking camp, and then the carts creaked out in line.	true	475.52	481.15	22.691175
9022_282383_000012_000006	They halted at six for breakfast and marched again at seven.	They halted at six for breakfast and marched again at seven.	true	481.37	485.14	25.072992
9022_282383_000012_000007	Dinner was at two, supper at six, and tents were seldom pitched before nine at night.	Dinner was at two, supper at six, and tents were seldom pitched before nine at night.	false	485.33	490.93	26.74236
9022_282383_000012_000008	On Sunday the procession rested and some one read divine service.	On Sunday the procession rested and some one read divine service.	true	491.3	495.73	20.094755
9022_282383_000012_000009	The oxen and ponies foraged for themselves.	The oxen and ponies foraged for themselves.	true	496.07	498.82	23.952671
9022_282383_000012_000010	By limiting camp to five hours, in spite of the slow pace of the oxen, forty to fifty miles a day could be made on a good trail in fair weather.	By limiting camp to five hours, in spite of the slow pace of the oxen, forty to fifty miles a day could be made on a good trail in fair weather.	true	499.04	507.46	23.205456
9022_282383_000012_000011	While the scout led the way, the captain and his lieutenants kept the long procession in line; and the travellers for the most part dozed lazily in their carts, dreaming of the fortunes awaiting them in Cariboo.	While the scout led the way, the captain and his lieutenants kept the long procession in line; and the travellers for the most part dozed lazily in their carts, dreaming of the fortunes awaiting them in Cariboo.	true	507.62	518.8	23.83369
9022_282383_000012_000012	Some nights, when the captain permitted a longer halt than usual and when camp-fires blazed before the tents, men played the violin and sang and danced.	Some nights, when the captain permitted a longer halt than usual and when camp fires blazed before the tents, men played the violin and sang and danced.	true	518.93	528.22	21.000423
9022_282383_000012_000013	Each man was his own cook. Three or four occupied {60} each tent.	Each man was his own cook. Three or four occupied {sixty} each tent.	false	528.29	532.81	22.054974
9022_282383_000012_000014	In the company was one woman, with two children.	In the company was one woman, with two children.	true	533.12	535.99	21.830626
9022_282383_000012_000015	She was an Irishwoman; but she bore the name of Shubert, from which we may infer that her husband was not an Irishman.	She was an Irishwoman; but she bore the name of Shubert, from which we may infer that her husband was not an Irishman.	true	536.09	542.5	23.628008
9022_282383_000013_000000	Sunday having intervened, the travellers did not reach Portage la Prairie until the fourth day out.	Sunday having intervened, the travellers did not reach Portage la Prairie until the fourth day out.	false	543.47	549.64	24.863388
9022_282383_000013_000001	Another week passed before they arrived at Fort Ellice.	Another week passed before they arrived at Fort Ellice.	true	549.95	553.24	24.621325
9022_282383_000013_000002	Heavy rains came on now, and James M'Kay, chief trader at Fort Ellice, opened his doors to the gold-seekers. Harness and carts repaired and more pemmican bought, the travellers crossed the Qu'Appelle river in a Hudson's Bay scow, paying toll of fifty cents a cart.	Heavy rains came on now, and james M'Kay, chief trader at Fort Ellice, opened his doors to the gold seekers. Harness and carts repaired and more pemmican bought, the travellers crossed the Qu'Appelle river in a Hudson's Bay scow, paying toll of fifty cents a cart.	true	553.64	570.25	22.798405
9022_282383_000013_000003	From the Qu'Appelle westward the journey grew more arduous.	From the Qu'Appelle westward the journey grew more arduous.	true	570.56	574.06	27.742363
9022_282383_000013_000004	The weather became oppressively hot and mosquitoes swarmed from the sloughs.	The weather became oppressively hot and mosquitoes swarmed from the sloughs.	false	574.19	579.15	23.285093
9022_282383_000013_000005	At Carlton and at Fort Pitt the fur-traders' 'string band'--husky-dogs in wolfish packs--surrounded the camp of the Overlanders and stole pemmican from under the tent-flaps.	At Carlton and at Fort Pitt the fur traders' 'string band'--husky dogs in wolfish packs-surrounded the camp of the Overlanders and stole pemmican from under the tent flaps.	false	579.15	590.26	25.19201
9022_282383_000013_000006	From Fort Pitt westward the trail crossed a rough, wooded country, and there were no more scows to take the ox-carts across the rivers.	From Fort Pitt westward the trail crossed a rough, wooded country, and there were no more scows to take the ox carts across the rivers.	true	590.87	598.87	25.236004
9022_282383_000013_000007	Eleven days of continuous rain had flooded the sloughs into swamps; and in three days as many as eight corduroy bridges had to be built.	Eleven days of continuous rain had flooded the sloughs into swamps; and in three days as many as eight corduroy bridges had to be built.	false	599.72	608.08	22.234133
9022_282383_000013_000008	Two {61} long trees were felled parallel and light poles were laid across the floating trees.	Two {sixty one} long trees were felled parallel and light poles were laid across the floating trees.	false	608.54	614.11	23.96889
9022_282383_000013_000009	Where the trees swerved to the current, some one would swim out and anchor them with ropes till the hundred carts had passed safely to the other side.	Where the trees swerved to the current, some one would swim out and anchor them with ropes till the hundred carts had passed safely to the other side.	true	614.39	622.69	24.696285
9022_282383_000014_000000	It was the 21st of July when the travellers came out on the high banks of the North Saskatchewan, flowing broad and swift, opposite Fort Edmonton.	It was the twenty first of July when the travellers came out on the high banks of the North Saskatchewan, flowing broad and swift, opposite Fort Edmonton.	true	623.27	632.32	22.99754
9022_282383_000014_000001	There had been floods and all the company's rafts had been carried away.	There had been floods and all the company's rafts had been carried away.	true	632.93	636.93	23.090847
9022_282383_000014_000002	But the ox-carts were poled across by means of a big York boat; and the travellers were welcomed inside the fort.	But the ox carts were poled across by means of a big York boat; and the travellers were welcomed inside the fort.	false	636.93	643.96	25.932392
9022_282383_000015_000000	The arrival of the Overlanders is remembered at Edmonton by some old-timers even to this day.	The arrival of the Overlanders is remembered at Edmonton by some old timers even to this day.	true	644.42	650.23	24.279844
9022_282383_000015_000001	Salvoes of welcome were fired from the fort cannon by a half-breed shooting his musket into the touch-hole of the big gun.	Salvoes of welcome were fired from the fort cannon by a half breed shooting his musket into the touch hole of the big gun.	true	650.51	657.19	24.206646
9022_282383_000015_000002	Concerts were given, with bagpipes, concertinas, flutes, drums, and fiddles, in honour of the far-travellers.	Concerts were given, with bagpipes, concertinas, flutes, drums, and fiddles, in honour of the far travellers.	true	657.74	664.87	23.78057
9022_282383_000015_000003	Pemmican-bags were replenished from the company's stores.	Pemmican bags were replenished from the company's stores.	true	665.63	668.8	22
9022_282383_000016_000000	Miners often uttered loud complaints against the charges made by the fur-traders for provisions, forgetting what it cost to pack these provisions in by dog-train and canoe.	Miners often uttered loud complaints against the charges made by the fur traders for provisions, forgetting what it cost to pack these provisions in by dog train and canoe.	true	669.35	679.18	25.329338
9022_282383_000016_000001	If the Hudson's Bay officials at Fort Garry and {62} Edmonton had withheld their help, the Overlanders would have perished before they reached the Rockies.	If the Hudson's Bay officials at Fort Garry and {sixty two} Edmonton had withheld their help, the Overlanders would have perished before they reached the Rockies.	false	679.55	687.7	25.993517
9022_282383_000016_000002	Though the miner did everything to destroy the fur trade--started fires which ravaged the hunter's forest haunts, put up saloons which demoralized the Indians, built wagon-roads where aforetime wandered only the shy creatures of the wilds--though the miner heralded the doom of the fur trade--yet with an unvarying courtesy, from Fort Garry to the Rockies, the Hudson's Bay men helped the Overlanders.	Though the miner did everything to destroy the fur trade-started fires which ravaged the hunter's forest haunts, put up saloons which demoralized the Indians, built wagon roads where aforetime wandered only the shy creatures of the wilds-though the miner heralded the doom of the fur trade-yet with an unvarying courtesy, from Fort Garry to the Rockies, the Hudson's Bay men helped the Overlanders.	true	687.98	711.67	23.069426
9022_282383_000017_000000	The majority of the travellers now changed oxen and carts for pack-horses and _travois_, contrivances consisting of two poles, within which the horses were attached, and a rude sledge.	The majority of the travellers now changed oxen and carts for pack horses and underscore travois underscore, contrivances consisting of two poles, within which the horses were attached, and a rude sledge.	false	712.31	724.15	24.518688
9022_282383_000017_000001	A few continued with oxen, and these oxen were to save their lives in the mountains.	A few continued with oxen, and these oxen were to save their lives in the mountains.	true	724.34	729.09	22
9022_282383_000018_000000	[Illustration: Washing gold on the Saskatchewan.	[Illustration: Washing gold on the Saskatchewan.	false	729.09	730.02	36.314735
9022_282383_000018_000001	From a photograph.]	From a photograph.]	false	730.02	730.02	
9022_282383_000019_000000	The farther the Overlanders now plunged into the wilderness, the more they were pestered by the husky-dogs that roamed in howling hordes round the outskirts of the forts.	The farther the Overlanders now plunged into the wilderness, the more they were pestered by the husky dogs that roamed in howling hordes round the outskirts of the forts.	false	730.02	738.85	23
9022_282383_000019_000001	The story is told of several prospectors of this time, who slept soundly in their tent after a day's exhausting tramp, and awoke to find that their boots, bacon, rope, and clothes had been devoured by the ravenous dogs.	The story is told of several prospectors of this time, who slept soundly in their tent after a day's exhausting tramp, and awoke to find that their boots, bacon, rope, and clothes had been devoured by the ravenous dogs.	false	739.07	752.26	24.155964
9022_282383_000019_000002	They {63} asked the trader's permission to sleep inside the fort.	They {sixty three} asked the trader's permission to sleep inside the fort.	false	752.57	755.83	25.547092
9022_282383_000020_000000	'Why?' asked the amused trader.	'Why?' asked the amused trader.	true	756.14	758.35	24.053602
9022_282383_000020_000001	'Why, now, when the huskies have chewed all you own but your instruments?	'Why, now, when the huskies have chewed all you own but your instruments?	true	758.45	762.37	20.682411
9022_282383_000020_000002	You are locking the stable door after your horse has been stolen.'	You are locking the stable door after your horse has been stolen.'	true	762.47	765.85	23.591597
9022_282383_000021_000000	'No,' answered the prospectors.	'No,' answered the prospectors.	true	766.46	768.55	25.169601
9022_282383_000021_000001	'If those husky-dogs last night could devour all our camp kit without disturbing us, to-night they might swallow us before we'd waken.'	'If those husky dogs last night could devour all our camp kit without disturbing us, to night they might swallow us before we'd waken.'	true	768.74	777.01	25.942682
9022_282383_000022_000000	The next pause was at St Albert, one of Father Lacombe's missions. What surprised the Overlanders as they advanced was the amazing fertility of the soil.	The next pause was at St Albert, one of Father Lacombe's missions. What surprised the Overlanders as they advanced was the amazing fertility of the soil.	false	777.32	787.48	24.595495
9022_282383_000022_000001	At Fort Garry, at Pitt, at Edmonton, at St Albert, at St Ann, they saw great fields of wheat, barley, and potatoes.	At Fort Garry, at Pitt, at Edmonton, at St Albert, at St Ann, they saw great fields of wheat, barley, and potatoes.	false	787.82	797.31	25.23815
9022_282383_000022_000002	Afterwards many who failed in the mines drifted back to the plains and became farmers.	Afterwards many who failed in the mines drifted back to the plains and became farmers.	true	797.31	802.6	25
9022_282383_000022_000003	The same thing had happened in California, and was repeated at a later day in the rush to the Klondike.	The same thing had happened in California, and was repeated at a later day in the rush to the Klondike.	true	803.06	809.08	21.686823
9022_282383_000022_000004	Great seams of coal, too, were seen projecting from the banks of the Saskatchewan.	Great seams of coal, too, were seen projecting from the banks of the Saskatchewan.	true	809.57	814.51	25.647686
9022_282383_000022_000005	Here some of the men began washing for gold, and, finding yellow specks the size of pin-heads in the fine sand, a number of them knocked up cabins for themselves and remained west of Edmonton {64} to try their luck.	Here some of the men began washing for gold, and, finding yellow specks the size of pin heads in the fine sand, a number of them knocked up cabins for themselves and remained west of Edmonton {sixty four} to try their luck.	false	815.09	828.52	23.68408
9022_282383_000022_000006	Later, when these belated Overlanders decided to follow on to Cariboo, they suffered terrible hardships.	Later, when these belated Overlanders decided to follow on to Cariboo, they suffered terrible hardships.	true	828.8	835.75	23.698336
9022_282383_000023_000000	The Overlanders were to enter the Rockies by the Yellowhead Pass, which had been discovered long ago by Jasper Hawse, of the Hudson's Bay Company.	The Overlanders were to enter the Rockies by the Yellowhead Pass, which had been discovered long ago by Jasper Hawse, of the Hudson's Bay Company.	true	836.09	844.15	23.517427
9022_282383_000023_000001	This section of their trail is visible to the modern traveller from the windows of a Grand Trunk Pacific Railway train, just as the lower sections of the Cariboo Trail in the Fraser Canyon are to be seen from the trains of the Canadian Pacific and the Canadian Northern.	This section of their trail is visible to the modern traveller from the windows of a Grand Trunk Pacific Railway train, just as the lower sections of the Cariboo Trail in the Fraser Canyon are to be seen from the trains of the Canadian Pacific and the Canadian Northern.	true	844.67	859.87	23.97015
9022_282383_000023_000002	First came the fur-trader, seeking adventure through these passes, pursuing the little beaver.	First came the fur trader, seeking adventure through these passes, pursuing the little beaver.	true	860.3	866.05	22.509293
9022_282383_000023_000003	The miner came next, fevered to delirium, lured by the siren of an elusive yellow goddess.	The miner came next, fevered to delirium, lured by the siren of an elusive yellow goddess.	true	866.36	872.44	23.102304
9022_282383_000023_000004	The settler came third, prosaic and plodding, but dauntless too.	The settler came third, prosaic and plodding, but dauntless too.	true	872.81	877.42	26.757406
9022_282383_000023_000005	And then came the railroad, following the trail which had been beaten hard by the stumbling feet of pioneers.	And then came the railroad, following the trail which had been beaten hard by the stumbling feet of pioneers.	true	877.79	884.64	22.359257
9022_282383_000024_000000	[Illustration: In the Yellowhead Pass.	[Illustration: In the Yellowhead Pass.	false	884.64	885	-5
9022_282383_000024_000001	From a photograph.]	From a photograph.]	false	885	885.24	9
9022_282383_000025_000000	At St Ann a guide was engaged to lead the long train of pack-horses through the pass from Jasper House on the east to Yellowhead Lake on the west.	At St Ann a guide was engaged to lead the long train of pack horses through the pass from Jasper House on the east to Yellowhead Lake on the west.	false	885.24	893.95	23
9022_282383_000025_000001	Colin Fraser, son of the famous piper for Sir George Simpson of the Hudson's Bay Company, danced a Highland fling at the gate of the fort to speed the {65} departing guests.	Colin Fraser, son of the famous piper for Sir George Simpson of the Hudson's Bay Company, danced a Highland fling at the gate of the fort to speed the {sixty five} departing guests.	false	894.2	904.45	22.93336
9022_282383_000025_000002	And to the skirl of the bagpipes the procession wound away westward bound for the mountains.	And to the skirl of the bagpipes the procession wound away westward bound for the mountains.	true	904.76	910.45	23.969723
9022_282383_000026_000000	Instead of the thirty miles a day which they had made farther east, the travellers were now glad to cover ten miles a day.	Instead of the thirty miles a day which they had made farther east, the travellers were now glad to cover ten miles a day.	true	911.09	917.86	24
9022_282383_000026_000001	Fallen trees lay across the trail in impassable ramparts and floods filled the gullies. Scouts went ahead blazing trees to show the way.	Fallen trees lay across the trail in impassable ramparts and floods filled the gullies. Scouts went ahead blazing trees to show the way.	false	918.23	927.13	24.133034
9022_282383_000026_000002	Bushwhackers followed, cutting away windfall and throwing logs into sloughs.	Bushwhackers followed, cutting away windfall and throwing logs into sloughs.	false	927.35	932.28	23.24705
9022_282383_000026_000003	Horses sank to their withers in seemingly bottomless muskegs,[2] so that packs had to be cut off and the unlucky bronchos pulled out by all hands straining on a rope.	Horses sank to their withers in seemingly bottomless muskegs,[two] so that packs had to be cut off and the unlucky bronchos pulled out by all hands straining on a rope.	false	932.28	984.43	23.371525
9022_282383_000027_000000	Somewhere between the rivers Pembina and M'Leod the travellers were amazed to see what the wise ones in the party thought a volcano--a continuous and self-fed fire burning on the crown of a hill.	Somewhere between the rivers Pembina and M'Leod the travellers were amazed to see what the wise ones in the party thought a volcano-a continuous and self fed fire burning on the crown of a hill.	false	985.07	996.7	23.987423
