8887_281472_000002_000000	CHAPTER XV.	CHAPTER fifteen.
8887_281472_000049_000001	Roger stepped back from the plate, after striking out, and stood there gazing at Roy, with one of his strange, rare smiles.	Roger stepped back from the plate, after striking out, and stood there gazing at Roy, with one of his strange, rare smiles.
8887_281472_000050_000000	Crane followed.	Crane followed.
8887_281472_000051_000000	A moment later Hooker pulled him handsomely on a wide one, and the first strike was called, Cooper being again awakened to a wondering, whooping state of merriment.	A moment later Hooker pulled him handsomely on a wide one, and the first strike was called, Cooper being again awakened to a wondering, whooping state of merriment.
8887_281472_000052_000000	"Look out! look out!" shouted the little fellow.	"Look out! look out!" shouted the little fellow.
8887_281472_000052_000001	"He'll get you if you don't.	"He'll get you if you don't.
8887_281472_000052_000002	Who said Hooky couldn't pitch?	Who said Hooky couldn't pitch?
8887_281472_000052_000003	There's more pitch in him than you can find in a big chew of spruce gum."	There's more pitch in him than you can find in a big chew of spruce gum."
8887_281472_000053_000000	Crane, setting his teeth, made two fouls, and then sent Chipper into real convulsions by whiffing at a high one which Roy whistled across his shoulders with surprising accuracy.	Crane, setting his teeth, made two fouls, and then sent Chipper into real convulsions by whiffing at a high one which Roy whistled across his shoulders with surprising accuracy.
8887_281472_000054_000000	"You wanted to see it," yelled Cooper.	"You wanted to see it," yelled Cooper.
8887_281472_000054_000001	"You got a look, all right. Oh, say!	"You got a look, all right. Oh, say!
8887_281472_000054_000002	Where did this new Christy Mathewson come from, anyhow?	Where did this new Christy Mathewson come from, anyhow?
8887_281472_000054_000003	Look out for him, Roddy, or he'll add you to his list.	Look out for him, Roddy, or he'll add you to his list.
8887_281472_000054_000004	List' to my warning."	List' to my warning."
8887_281472_000055_000000	Rodney Grant did not strike out, but, nevertheless, he failed to meet one of Hooker's shoots squarely, and the grammar school shortstop gathered in an easy grounder and threw to first for the third put-out.	Rodney Grant did not strike out, but, nevertheless, he failed to meet one of Hooker's shoots squarely, and the grammar school shortstop gathered in an easy grounder and threw to first for the third put out.
8887_281472_000056_000000	Roger Eliot lingered to speak a word to Hooker, and Springer, still unnoticed, plainly heard what he said.	Roger Eliot lingered to speak a word to Hooker, and Springer, still unnoticed, plainly heard what he said.
8887_281472_000057_000000	"Perhaps we've made a mistake in sizing you up, Roy, old fellow.	"Perhaps we've made a mistake in sizing you up, Roy, old fellow.
8887_281472_000057_000001	It's your work alone that has prevented us from scoring in either of these innings.	It's your work alone that has prevented us from scoring in either of these innings.
8887_281472_000057_000002	You've always had speed and curves, but now you seem able to get the pill over.	You've always had speed and curves, but now you seem able to get the pill over.
