9022_282357_000014_000000	THE 'ARGONAUTS'	THE 'ARGONAUTS'
9022_282357_000022_000012	Buildings of huge, squared timbers flanked three sides of the inner stockades--the dining-hall, the cook-house, the bunk-house, the store, the trader's house.	Buildings of huge, squared timbers flanked three sides of the inner stockades-the dining hall, the cook house, the bunk house, the store, the trader's house.
9022_282357_000022_000013	There were two bastions, and from each cannon pointed.	There were two bastions, and from each cannon pointed.
9022_282357_000022_000016	The fort was sound asleep, secure in an eternal certainty that the domain which it guarded would never be overrun by American settlers as California and Oregon had been.	The fort was sound asleep, secure in an eternal certainty that the domain which it guarded would never be overrun by American settlers as California and Oregon had been.
9022_282357_000022_000017	The little Admiralty cruisers which lay at Esquimalt were guarantee that New Caledonia should never be stampeded into a republic by an inrush of aliens.	The little Admiralty cruisers which lay at Esquimalt were guarantee that New Caledonia should never be stampeded into a republic by an inrush of aliens.
9022_282357_000022_000018	Then, as now, it was Victoria's boast that it was more English than England.	Then, as now, it was Victoria's boast that it was more English than England.
9022_282357_000024_000000	Then, in March 1858, just when Victoria felt most secure as the capital of a perpetual fur realm, something happened.	Then, in march eighteen fifty eight, just when Victoria felt most secure as the capital of a perpetual fur realm, something happened.
9022_282357_000024_000002	The Hudson's Bay men had thought nothing of this. Other treasure-seekers had come to New Caledonia before and had gone back to San Francisco disappointed.	The Hudson's Bay men had thought nothing of this. Other treasure seekers had come to New Caledonia before and had gone back to San Francisco disappointed.
9022_282357_000024_000004	And with them came a mad rabble of gold-crazy prospectors.	And with them came a mad rabble of gold crazy prospectors.
9022_282357_000024_000005	A city of tents sprang up overnight round Victoria.	A city of tents sprang up overnight round Victoria.
9022_282357_000024_000006	The smithy was besieged for picks, for shovels, for iron ladles.	The smithy was besieged for picks, for shovels, for iron ladles.
9022_282357_000024_000007	Men stood in long lines for their turn at the trading-store.	Men stood in long lines for their turn at the trading store.
9022_282357_000024_000008	By canoe, by dugout, by pack-horse, and on foot, they planned to ascend the Fraser, and they mobbed the company for passage to Langley by the first steamer out from Victoria.	By canoe, by dugout, by pack horse, and on foot, they planned to ascend the Fraser, and they mobbed the company for passage to Langley by the first steamer out from Victoria.
9022_282357_000024_000009	Goods were paid for in cash.	Goods were paid for in cash.
9022_282357_000024_000010	Before Finlayson could believe his own eyes, he had two million dollars in his safe, some of it for purchases, some of it on deposit for safe keeping. Though the company gave no guarantee to the depositors and simply sealed each man's leather pouch as it was placed in the safe, no complaint was ever made against it of dishonesty or unfair treatment.	Before Finlayson could believe his own eyes, he had two million dollars in his safe, some of it for purchases, some of it on deposit for safe keeping. Though the company gave no guarantee to the depositors and simply sealed each man's leather pouch as it was placed in the safe, no complaint was ever made against it of dishonesty or unfair treatment.
9022_282357_000025_000000	Without waiting instructions from England and with poignant memory of Oregon, Governor Douglas at once clapped on a licence of twenty-one shillings a month for mining privileges under the British crown.	Without waiting instructions from England and with poignant memory of Oregon, Governor Douglas at once clapped on a licence of twenty one shillings a month for mining privileges under the British crown.
9022_282357_000025_000001	Thus he obtained a rough registration of the men going to the up-country; but thousands passed Victoria altogether and went in by pack-train from Okanagan or rafted across from Puget Sound.	Thus he obtained a rough registration of the men going to the up country; but thousands passed Victoria altogether and went in by pack train from Okanagan or rafted across from Puget Sound.
9022_282357_000025_000003	Another boat-load of eight hundred and fifty came in April.	Another boat load of eight hundred and fifty came in April.
9022_282357_000025_000004	In four months sixty-seven vessels, carrying from a hundred to a thousand men each, had come up from San Francisco to Victoria.	In four months sixty seven vessels, carrying from a hundred to a thousand men each, had come up from San Francisco to Victoria.
9022_282357_000025_000005	Crews deserted their ships, clerks deserted the company, trappers turned miners and took to the gold-bars.	Crews deserted their ships, clerks deserted the company, trappers turned miners and took to the gold bars.
9022_282357_000025_000006	Before Victoria awoke to what it was all about, twenty thousand people were camped under tents outside the stockade, and the air was full of the wildest rumours of fabulous gold finds.	Before Victoria awoke to what it was all about, twenty thousand people were camped under tents outside the stockade, and the air was full of the wildest rumours of fabulous gold finds.
9022_282357_000026_000001	In the spring the Fraser rolled to the sea a swollen flood.	In the spring the Fraser rolled to the sea a swollen flood.
9022_282357_000026_000002	Against the turbid current worked tipsy rafts towed by wheezy steamers or leaky old sailing craft, and rickety row-boats raced cockle-shell canoes for the gold-bars above.	Against the turbid current worked tipsy rafts towed by wheezy steamers or leaky old sailing craft, and rickety row boats raced cockle shell canoes for the gold bars above.
9022_282357_000026_000003	Ashore, the banks of the river were lined with foot passengers toiling under heavy packs, wagons to which clung human forms on every foot of space, and long rows of pack-horses bogged in the flood of the overflowing river.	Ashore, the banks of the river were lined with foot passengers toiling under heavy packs, wagons to which clung human forms on every foot of space, and long rows of pack horses bogged in the flood of the overflowing river.
9022_282357_000027_000001	Victoria was a ten-hour trip from the mainland.	Victoria was a ten hour trip from the mainland.
9022_282357_000027_000002	Whatcom and Townsend, on the American side, advertised the advantages of the Washington route to the Fraser river gold-mines.	Whatcom and Townsend, on the American side, advertised the advantages of the Washington route to the Fraser river gold mines.
9022_282357_000027_000003	A mushroom boom in town lots had sprung up at these points before Victoria was well awake.	A mushroom boom in town lots had sprung up at these points before Victoria was well awake.
9022_282357_000027_000004	By the time speculators reached Victoria the best lots in that place had already been bought by the company's men; and some of the substantial fortunes of Victoria date from this period.	By the time speculators reached Victoria the best lots in that place had already been bought by the company's men; and some of the substantial fortunes of Victoria date from this period.
9022_282357_000027_000005	Though the river was so high that the richest bars could not be worked till late in August, five hundred thousand dollars in gold was taken from the bed of the Fraser during the first six months of '58.	Though the river was so high that the richest bars could not be worked till late in August, five hundred thousand dollars in gold was taken from the bed of the Fraser during the first six months of 'fifty eight.
9022_282357_000027_000006	This amount, divided among the ten thousand men who were on the bars around Yale, would not average as much as they could have earned as junior clerks with the fur company, or as peanut pedlars in San Francisco; but not so does the mind of the miner work.	This amount, divided among the ten thousand men who were on the bars around Yale, would not average as much as they could have earned as junior clerks with the fur company, or as peanut pedlars in San Francisco; but not so does the mind of the miner work.
9022_282357_000027_000008	Later these tolls were disallowed by the home authorities.	Later these tolls were disallowed by the home authorities.
9022_282357_000027_000009	The prompt action of Douglas, however, had the effect of keeping the mining movement in hand.	The prompt action of Douglas, however, had the effect of keeping the mining movement in hand.
9022_282357_000027_000010	Though the miners were of the same class as the 'argonauts' of California, they never broke into the lawlessness that compelled vigilance committees in San Francisco.	Though the miners were of the same class as the 'argonauts' of California, they never broke into the lawlessness that compelled vigilance committees in San Francisco.
9022_282357_000029_000000	Judge Howay gives the letter of a treasure-seeker who reached the Fraser in April, the substance of which is as follows:	Judge Howay gives the letter of a treasure seeker who reached the Fraser in April, the substance of which is as follows:
9022_282357_000030_000001	About a fourth of the canoes that attempt to come up are lost in the rapids which extend from Fort Yale nearly to the Forks.	About a fourth of the canoes that attempt to come up are lost in the rapids which extend from Fort Yale nearly to the Forks.
9022_282357_000030_000002	A few days ago six men were drowned by their canoe upsetting.	A few days ago six men were drowned by their canoe upsetting.
9022_282357_000030_000003	There is more danger going down than coming up.	There is more danger going down than coming up.
9022_282357_000030_000004	There can be no doubt about this country being immensely rich in gold.	There can be no doubt about this country being immensely rich in gold.
9022_282357_000030_000005	Almost every bar on the river from Yale up will pay from three dollars to seven dollars a day to the man at the present stage of water.	Almost every bar on the river from Yale up will pay from three dollars to seven dollars a day to the man at the present stage of water.
9022_282357_000030_000006	When the river gets low, which will be about August, the bars will pay very well.	When the river gets low, which will be about August, the bars will pay very well.
9022_282357_000030_000011	We only commenced work yesterday and we are satisfied that when we get fully under way we can make from five dollars to seven dollars a day each.	We only commenced work yesterday and we are satisfied that when we get fully under way we can make from five dollars to seven dollars a day each.
9022_282357_000030_000012	The prospect is better as we go up the river on the bars.	The prospect is better as we go up the river on the bars.
9022_282357_000030_000013	The gold is not any coarser, but there is more of it.	The gold is not any coarser, but there is more of it.
9022_282357_000030_000014	There are also in that region diggings of coarser gold on small streams that empty into the main river.	There are also in that region diggings of coarser gold on small streams that empty into the main river.
9022_282357_000030_000015	A few men have been there and proved the existence of rich diggings by bringing specimens back with them.	A few men have been there and proved the existence of rich diggings by bringing specimens back with them.
9022_282357_000030_000016	The Indians all along the river have gold in their possession that they say they dug themselves, but they will not tell where they get it, nor allow small parties to go up after it.	The Indians all along the river have gold in their possession that they say they dug themselves, but they will not tell where they get it, nor allow small parties to go up after it.
9022_282357_000030_000018	The Indians above are disposed to be troublesome and went into a camp twenty miles above us and forcibly took provisions and arms from a party of four men and cut two severely with their knives.	The Indians above are disposed to be troublesome and went into a camp twenty miles above us and forcibly took provisions and arms from a party of four men and cut two severely with their knives.
9022_282357_000030_000019	They came to our camp the same day and insisted that we should trade with them or leave the country.	They came to our camp the same day and insisted that we should trade with them or leave the country.
9022_282357_000030_000020	We design to remain here until we can get a hundred men together, when we will move up above the falls and do just what we please without regard to the Indians.	We design to remain here until we can get a hundred men together, when we will move up above the falls and do just what we please without regard to the Indians.
9022_282357_000030_000021	We are at present the highest up of any white men on the river, and we must go higher to be satisfied.	We are at present the highest up of any white men on the river, and we must go higher to be satisfied.
9022_282357_000030_000023	There is a pack-trail from Hope, but it cannot be travelled till the snow is off the mountains.	There is a pack trail from Hope, but it cannot be travelled till the snow is off the mountains.
9022_282357_000031_000000	The prices of provisions are as follows: flour thirty-five dollars per hundred-weight, pork a dollar a pound, beans fifty cents a pound, and other things in proportion.	The prices of provisions are as follows: flour thirty five dollars per hundred weight, pork a dollar a pound, beans fifty cents a pound, and other things in proportion.
9022_282357_000031_000001	Every party that starts from the Sound should have their own supplies to last them three or four months, and they should bring the largest size chinook canoes, as small ones are very liable to swamp in the rapids.	Every party that starts from the Sound should have their own supplies to last them three or four months, and they should bring the largest size chinook canoes, as small ones are very liable to swamp in the rapids.
9022_282357_000031_000002	Each canoe should be provided with thirty fathoms of strong line for towing over swift water, and every man well armed.	Each canoe should be provided with thirty fathoms of strong line for towing over swift water, and every man well armed.
9022_282357_000031_000003	The Indians here can beat anything alive stealing. They will soon be able to steal a man's food after he has eaten it.	The Indians here can beat anything alive stealing. They will soon be able to steal a man's food after he has eaten it.
9022_282357_000033_000000	Within two miles of Yale eighty Indians and thirty white men were working the gold-bars; and log boarding-houses and saloons sprang up along the river-bank as if by magic.	Within two miles of Yale eighty Indians and thirty white men were working the gold bars; and log boarding houses and saloons sprang up along the river bank as if by magic.
9022_282357_000033_000001	Naturally, the last comers of '58 were too late to get a place on the gold-bars, and they went back to the coast in disgust, calling the gold stampede 'the Fraser River humbug.' Nevertheless, men were washing, sluicing, rocking, and digging gold as far as Lillooet.	Naturally, the last comers of 'fifty eight were too late to get a place on the gold bars, and they went back to the coast in disgust, calling the gold stampede 'the Fraser River humbug.' Nevertheless, men were washing, sluicing, rocking, and digging gold as far as Lillooet.
9022_282357_000033_000003	That is the hope that draws the prospector from river to stream, from stream to dry gully bed, from dry gully to precipice edge, and often over the edge to death or fortune.	That is the hope that draws the prospector from river to stream, from stream to dry gully bed, from dry gully to precipice edge, and often over the edge to death or fortune.
9022_282357_000034_000000	Exactly fifty-six years from the first rush of '58 in the month of April, I sat on the banks of the Fraser at Yale and punted across the rapids in a flat-bottomed boat and swirled in and out among the eddies of the famous bars.	Exactly fifty six years from the first rush of 'fifty eight in the month of April, I sat on the banks of the Fraser at Yale and punted across the rapids in a flat bottomed boat and swirled in and out among the eddies of the famous bars.
9022_282357_000034_000002	Higher up could be seen some Chinamen, but whether they were fishing or washing we could not tell.	Higher up could be seen some Chinamen, but whether they were fishing or washing we could not tell.
9022_282357_000034_000003	Two transcontinental railroads skirted the canyon, one on each side, and the tents of a thousand construction workers stood where once were the camps of the gold-seekers banded together for protection.	Two transcontinental railroads skirted the canyon, one on each side, and the tents of a thousand construction workers stood where once were the camps of the gold seekers banded together for protection.
9022_282357_000034_000004	When we came back across the river an old, old man met us and sat talking to us on the bank.	When we came back across the river an old, old man met us and sat talking to us on the bank.
9022_282357_000034_000005	He had come to the Fraser in that first rush of '58.	He had come to the Fraser in that first rush of 'fifty eight.
9022_282357_000034_000006	He had been one of the leaders against the murderous bands of Indians.	He had been one of the leaders against the murderous bands of Indians.
9022_282357_000034_000009	'But,' he said, pointing his trembling old hands at the two railways, 'if we prospectors hadn't blazed the trail of the canyon, you wouldn't have your railroads here to-day.	'But,' he said, pointing his trembling old hands at the two railways, 'if we prospectors hadn't blazed the trail of the canyon, you wouldn't have your railroads here to day.
9022_282357_000034_000010	They only followed the trail we first cut and then built.	They only followed the trail we first cut and then built.
9022_282357_000034_000011	We followed the "float" up and they followed us.'	We followed the "float" up and they followed us.'
9022_282357_000035_000000	What the trapper was to the fur trade, the prospector was to the mining era that ushered civilization into the wilds with a blare of dance-halls and wine and wassail and greed.	What the trapper was to the fur trade, the prospector was to the mining era that ushered civilization into the wilds with a blare of dance halls and wine and wassail and greed.
